id,Date,Sport,Séance,Exercice,Durée,poid,Nbr_de_repetitions,Commentaire
167,2024-08-03,Musculation,Bras,Triceps à la Poulie,,25.3,12.0,
168,2024-08-03,Musculation,Bras,Triceps à la Poulie,,25.3,11.0,
169,2024-08-03,Musculation,Bras,Triceps à la Poulie,,25.3,11.0,
170,2024-08-03,Musculation,Bras,Triceps à la Poulie,,25.3,10.0,
171,2024-08-03,Musculation,Bras,Triceps à la Poulie,,25.3,10.0,
172,2024-08-03,Musculation,Bras,Triceps à la Poulie Inversée,,36.0,20.0,
173,2024-08-03,Musculation,Bras,Triceps à la Poulie Inversée,,45.0,13.0,
174,2024-08-03,Musculation,Bras,Triceps à la Poulie Inversée,,45.0,11.0,
175,2024-08-03,Musculation,Bras,Triceps à la Poulie Inversée,,45.0,10.0,
176,2024-08-03,Musculation,Bras,Biceps Curls,,6.0,12.0,
177,2024-08-03,Musculation,Bras,Biceps Curls (allongé puis prise marteau),,6.0,12.0,
178,2024-08-03,Musculation,Bras,Biceps Curls,,6.0,12.0,
179,2024-08-03,Musculation,Bras,Biceps Curls,,6.0,12.0,
180,2024-08-03,Musculation,Bras,Triceps à la Poulie,,14.0,10.0,
181,2024-08-03,Musculation,Bras,Triceps à la Poulie,,14.0,10.0,
182,2024-08-03,Musculation,Bras,Triceps à la Poulie,,14.0,13.0,
183,2024-08-03,Musculation,Bras,Triceps à la Poulie,,14.0,13.0,
184,2024-09-03,Musculation,Abdos,Rotary Torso,,50.0,20.0,
185,2024-09-03,Musculation,Abdos,Rotary Torso,,54.0,20.0,
186,2024-09-03,Musculation,Abdos,Rotary Torso,,54.0,20.0,
187,2024-09-03,Musculation,Abdos,Rotary Torso,,54.0,20.0,
188,2024-10-03,Cardio,,Tennis,60.0,,,
189,2024-11-03,Musculation,Pectoraux,Développé Couché,,60.0,7.0,
190,2024-11-03,Musculation,Pectoraux,Développé Couché,,60.0,7.0,
191,2024-11-03,Musculation,Pectoraux,Développé Couché,,60.0,7.0,
192,2024-11-03,Musculation,Pectoraux,Développé Couché,,60.0,6.0,
193,2024-11-03,Musculation,Pectoraux,Développé Couché,,60.0,8.0,
194,2024-11-03,Musculation,Pectoraux,Développé Couché,,60.0,7.0,
195,2024-11-03,Musculation,Pectoraux,Dip Assist,,23.0,15.0,
196,2024-11-03,Musculation,Pectoraux,Dip Assist,,18.0,15.0,
197,2024-11-03,Musculation,Pectoraux,Dip Assist,,14.0,12.0,
198,2024-11-03,Musculation,Pectoraux,Pec Fly,,66.0,12.0,
199,2024-11-03,Musculation,Pectoraux,Pec Fly,,73.0,12.0,
200,2024-11-03,Musculation,Pectoraux,Pec Fly,,73.0,12.0,
201,2024-11-03,Musculation,Pectoraux,Pec Fly,,73.0,10.0,
202,2024-11-03,Musculation,Pectoraux,Pec Fly,,73.0,10.0,
203,2024-03-24,Musculation,Épaules Bras,Élévations Latérales,,7.0,10.0,
204,2024-03-24,Musculation,Épaules Bras,Élévations Latérales,,7.0,10.0,
205,2024-03-24,Musculation,Épaules Bras,Élévations Latérales,,7.0,10.0,
206,2024-03-24,Musculation,Épaules Bras,Élévations Latérales,,7.0,10.0,
207,2024-03-24,Musculation,Épaules Bras,Élévations Latérales,,7.0,10.0,
208,2024-03-24,Musculation,Épaules Bras,Triceps à la Poulie,,32.0,10.0,
209,2024-03-24,Musculation,Épaules Bras,Triceps à la poulie,,32.0,10.0,
210,2024-03-24,Musculation,Épaules Bras,Triceps à la Poulie,,32.0,10.0,
211,2024-03-24,Musculation,Épaules Bras,Triceps à la Poulie,,32.0,10.0,
212,2024-03-24,Musculation,Épaules Bras,Triceps à la Poulie,,32.0,10.0,
213,2024-03-24,Musculation,Épaules Bras,Biceps Curls à la Poulie,,29.3,10.0,
214,2024-03-24,Musculation,Épaules Bras,Biceps Curls à la Poulie,,29.3,10.0,
215,2024-03-24,Musculation,Épaules Bras,Biceps Curls à la Poulie,,29.3,10.0,
216,2024-03-24,Musculation,Épaules Bras,Biceps Curls à la Poulie,,29.3,10.0,
217,2024-03-24,Musculation,Épaules Bras,Biceps Curls à la Poulie,,29.3,10.0,
218,2024-03-24,Musculation,Épaules Bras,Rear Delt,,45.0,10.0,
219,2024-03-24,Musculation,Épaules Bras,Rear Delt,,45.0,10.0,
220,2024-03-24,Musculation,Épaules Bras,Rear Delt,,45.0,10.0,
221,2024-03-24,Musculation,Épaules Bras,Élévations Latérales,,4.0,12.0,
222,2024-03-24,Musculation,Épaules Bras,Élévations Latérales,,4.0,12.0,
223,2024-03-24,Musculation,Épaules Bras,Élévations Latérales,,4.0,12.0,
224,2024-03-24,Musculation,Épaules Bras,Élévations Latérales,,4.0,12.0,
225,2024-03-24,Cardio,,Tennis,60.0,,,
226,2024-03-25,Cardio,,Vélo Elliptique,30.0,,,"intensité 13 calorie 381 distances 2,72 km "
227,2024-03-25,Musculation,Abdos,Rotary Torso,,50.0,15.0,
228,2024-03-25,Musculation,Abdos,Rotary Torso,,50.0,15.0,
229,2024-03-25,Musculation,Abdos,Rotary Torso,,50.0,15.0,
230,2024-03-25,Musculation,Abdos,Rotary Torso,,50.0,15.0,
231,2024-03-25,Musculation,Abdos,Rotary Torso,,50.0,15.0,
232,2024-03-25,Musculation,Abdos,Abdos Inclinés,,10.0,15.0,
233,2024-03-25,Musculation,Abdos,Abdos Inclinés,,10.0,15.0,
